collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
gam	text	0	7	7	0	0	0	0	29	29	0	144	144	Aug-07
ggma	text	0	70	70	0	0	0	0	39	39	0	0	0	Aug-07
tcw	text	0	34	34	0	0	0	0	25	25	0	0	0	Aug-07
etd	text	2265	13341	15606	0	0	0	109	847	956	0	0	0	Aug-07
wpa	image	0	0	0	0	0	0	1	2	3	0	0	0	Aug-07
jei	text	728	6909	7637	0	60	60	2	1094	1096	60	700	760	Aug-07
tdh	text	10	170	180	14	194	208	9	149	158	0	0	0	Dec-03
rth	image	67	947	1014	17	112	129	23	339	362	0	7	7	Dec-03
etd-bib	bib	0	0	0	45	309	354	21	102	123	0	0	0	Dec-03
mcc	image	7	12	19	0	25	25	6	19	25	0	2	2	Dec-03
uky	image	0	10	10	0	14	14	0	7	7	0	5	5	Dec-03
uky-bib	bib	0	0	0	0	16	16	0	6	6	0	0	0	Dec-03
fa	text	0	6	6	0	0	0	0	6	6	0	0	0	Dec-03
egy	image	0	2	2	0	0	0	1	4	5	0	0	0	Dec-03
ual	image	0	6	6	0	0	0	0	7	7	0	2	2	Dec-03
rth-bib	bib	0	0	0	0	3	3	1	5	6	0	0	0	Dec-03
emn	text	1	3	4	0	0	0	1	2	3	0	0	0	Dec-03
jei-bib	bib	0	0	0	0	24	24	0	5	5	0	0	0	Dec-03
jei	text	22	158	180	3	46	49	9	71	80	49	167	216	Dec-03
egy	image	3	913	916	2	33	35	3	481	484	1	99	100	Dec-04
rth	image	293	4923	5216	35	272	307	27	844	871	1	74	75	Dec-04
